Creditability,Account_Balance,Duration_of_Credit,Previous_Credit,Purpose,Credit_Amount,Value_Savings_Stocks,employment,Instalment_percent,Sex_MaritalStatus,Guarantors,Duration_address,asset,Age,Concurrent_Credits,Type_apartment,No_of_Credits,Occupation,dependents,Telephone,Foreign_Worker
good,2,11,delayed previously,items of furniture,4771,1,4,2,male: married / widowed,none,4,2,51,3,rented flat,1,3,1,yes,yes
good,1,12,existing paid,used car,652,1,5,4,male: single,none,4,2,24,3,free apartment,1,3,1,yes,yes
good,2,9,critical/other existing credit,items of furniture,1154,1,5,2,male: married / widowed,none,4,1,37,3,rented flat,3,2,1,yes,yes
good,4,15,existing paid,other,3556,5,3,3,male: married / widowed,none,2,4,29,3,rented flat,1,3,1,yes,yes
good,3,42,critical/other existing credit,new car,4796,1,5,4,male: married / widowed,none,4,4,56,3,owner-occupied flat,1,3,1,yes,yes
good,3,30,critical/other existing credit,items of furniture,3017,1,5,4,male: married / widowed,none,4,2,47,3,rented flat,1,3,1,yes,yes
good,4,36,critical/other existing credit,other,3535,1,4,4,male: married / widowed,none,4,3,37,3,rented flat,2,3,1,no,yes
good,4,36,critical/other existing credit,other,6614,1,5,4,male: married / widowed,none,4,3,34,3,rented flat,2,4,1,no,yes
good,4,24,existing paid,items of furniture,1376,3,4,4,male: single,none,1,3,28,3,rented flat,1,3,1,yes,yes
good,1,15,existing paid,other,1721,1,2,2,male: married / widowed,none,3,1,36,3,rented flat,1,3,1,yes,yes
good,1,6,critical/other existing credit,other,860,1,5,1,male: single,none,4,4,39,3,rented flat,2,3,1,no,yes
good,4,12,critical/other existing credit,other,1495,1,5,4,male: married / widowed,none,1,1,38,3,rented flat,2,2,2,yes,yes
good,4,12,critical/other existing credit,items of furniture,1934,1,5,2,male: married / widowed,none,2,4,26,3,rented flat,2,3,1,yes,yes
good,4,18,existing paid,new car,3378,5,3,2,male: married / widowed,none,1,2,31,3,rented flat,1,3,1,no,yes
good,4,24,critical/other existing credit,new car,3868,1,5,4,male: single,none,2,3,41,3,free apartment,2,4,1,no,yes
good,4,12,critical/other existing credit,household appliances,996,5,4,4,male: single,none,4,1,23,3,rented flat,2,3,1,yes,yes
good,1,24,existing paid,business,1755,1,5,4,male: single,Guarantor  ,4,1,58,3,rented flat,1,2,1,no,yes
good,4,18,critical/other existing credit,other,1028,1,3,4,male: single,none,3,1,36,3,rented flat,2,3,1,yes,yes
good,2,24,critical/other existing credit,retraining,2825,5,4,4,male: married / widowed,none,3,4,34,3,rented flat,2,3,2,no,yes
good,2,18,existing paid,repair,1239,5,3,4,male: married / widowed,none,4,4,61,3,owner-occupied flat,1,3,1,yes,yes
bad,1,18,existing paid,other,1216,1,2,4,male: single,none,3,3,23,3,free apartment,1,3,1,no,yes
good,4,24,existing paid,retraining,1258,1,4,4,male: married / widowed,none,1,1,25,3,rented flat,1,3,1,no,yes
bad,4,18,critical/other existing credit,repair,1864,2,3,4,male: single,none,2,1,30,3,rented flat,2,3,1,yes,yes
good,4,24,existing paid,other,1474,2,2,4,female:,none,3,1,33,3,rented flat,1,3,1,no,yes
good,1,24,critical/other existing credit,retraining,1382,2,4,4,male: married / widowed,none,1,1,26,3,rented flat,2,3,1,no,yes
good,4,12,existing paid,other,640,1,3,4,male: divorced / living apart,none,2,1,49,3,rented flat,1,2,1,yes,yes
good,3,36,existing paid,items of furniture,3919,1,3,2,male: married / widowed,none,2,1,23,3,rented flat,1,3,1,no,yes
good,4,9,critical/other existing credit,other,1224,1,3,3,male: married / widowed,none,1,1,30,3,rented flat,2,3,1,yes,yes
good,4,12,critical/other existing credit,items of furniture,2331,5,5,1,male: married / widowed,Co-Applicant  ,4,1,49,3,rented flat,1,3,1,no,yes
good,4,24,existing paid,new car,6313,5,5,3,male: married / widowed,none,4,3,41,3,rented flat,1,4,2,no,yes
good,1,12,critical/other existing credit,items of furniture,385,1,4,4,male: single,none,3,1,58,3,rented flat,4,2,1,no,yes
good,4,12,critical/other existing credit,items of furniture,1655,1,5,2,male: married / widowed,none,4,1,63,3,rented flat,2,2,1,no,yes
good,1,15,existing paid,items of furniture,1053,1,2,4,female:,none,2,1,27,3,rented flat,1,3,1,yes,no
good,4,21,existing paid,items of furniture,3160,5,5,4,male: married / widowed,none,3,2,41,3,rented flat,1,3,1,no,yes
good,4,36,existing paid,other,3079,5,3,4,male: married / widowed,none,4,1,36,3,rented flat,1,3,1,yes,yes
good,4,12,critical/other existing credit,other,1163,3,3,4,male: married / widowed,none,4,1,44,3,rented flat,1,3,1,no,yes
good,4,24,existing paid,new car,2679,1,2,4,male: single,none,1,4,29,3,rented flat,1,4,1,no,yes
good,4,48,critical/other existing credit,items of furniture,3578,5,5,4,male: married / widowed,none,1,1,47,3,rented flat,1,3,1,no,yes
good,4,36,delayed previously,other,10875,1,5,2,male: married / widowed,none,2,3,45,3,rented flat,2,3,2,no,yes
good,1,12,delayed previously,other,1344,1,3,4,male: married / widowed,none,2,1,43,3,rented flat,2,2,2,yes,yes
good,4,6,critical/other existing credit,items of furniture,1237,2,3,1,male: single,none,1,2,27,3,rented flat,2,3,1,yes,yes
good,4,12,existing paid,items of furniture,3077,1,3,2,male: married / widowed,none,4,3,52,3,rented flat,1,3,1,no,yes
good,4,24,existing paid,items of furniture,2284,1,4,4,male: married / widowed,none,2,3,28,3,rented flat,1,3,1,no,yes
good,2,12,existing paid,items of furniture,1567,1,3,1,male: single,none,1,3,22,3,rented flat,1,3,1,no,yes
good,4,24,delayed previously,other,2032,1,5,4,male: married / widowed,none,4,4,60,3,owner-occupied flat,2,3,1,no,yes
good,2,21,critical/other existing credit,used car,2745,4,4,3,male: married / widowed,none,2,3,32,3,rented flat,2,3,1,no,yes
good,4,30,existing paid,items of furniture,1867,5,5,4,male: married / widowed,none,4,3,58,3,rented flat,1,3,1,no,yes
good,4,36,existing paid,items of furniture,2299,3,5,4,male: married / widowed,none,4,3,39,3,rented flat,1,3,1,yes,yes
good,4,24,existing paid,used car,929,5,4,4,male: married / widowed,none,2,3,31,2,rented flat,1,3,1,no,yes
good,3,12,existing paid,items of furniture,3399,5,5,2,male: married / widowed,none,3,3,37,3,rented flat,1,4,1,yes,yes
good,2,9,existing paid,used car,2030,5,4,2,male: married / widowed,none,1,3,24,3,rented flat,1,3,1,no,yes
good,4,21,critical/other existing credit,new car,3275,1,5,1,male: married / widowed,none,4,3,36,3,rented flat,1,4,1,no,yes
good,4,24,critical/other existing credit,other,1940,4,5,4,male: married / widowed,none,4,1,60,3,rented flat,1,3,1,no,yes
good,1,21,critical/other existing credit,other,1602,1,5,4,female:,none,3,3,30,3,rented flat,2,3,1,no,yes
good,4,15,existing paid,items of furniture,1979,5,5,4,male: married / widowed,none,2,3,35,3,rented flat,1,3,1,yes,yes
good,4,24,critical/other existing credit,other,2022,1,3,4,male: single,none,4,3,37,3,rented flat,1,3,1,no,yes
good,4,36,critical/other existing credit,items of furniture,3342,5,5,4,male: married / widowed,none,2,3,51,3,rented flat,1,3,1,no,yes
good,2,18,existing paid,other,5866,2,3,2,male: married / widowed,none,2,3,30,3,rented flat,2,3,1,no,yes
good,3,15,critical/other existing credit,new car,2360,3,3,2,male: married / widowed,none,2,3,36,3,rented flat,1,3,1,no,yes
good,4,15,critical/other existing credit,used car,1520,5,5,4,male: married / widowed,none,4,2,63,3,rented flat,1,3,1,yes,yes
good,1,12,existing paid,other,3651,4,3,1,male: married / widowed,none,3,2,31,3,rented flat,1,3,2,yes,yes
good,4,24,critical/other existing credit,new car,2346,1,4,4,male: married / widowed,none,3,3,35,3,rented flat,2,3,1,no,yes
good,4,36,delayed previously,items of furniture,4454,1,3,4,male: single,none,4,1,34,3,rented flat,2,3,1,yes,yes
good,1,6,critical/other existing credit,other,666,4,4,3,male: single,none,4,1,39,3,rented flat,2,2,1,no,yes
good,2,24,delayed previously,other,1965,5,3,4,male: single,none,4,3,42,3,free apartment,2,3,1,no,yes
good,2,12,critical/other existing credit,other,1995,2,2,4,male: married / widowed,none,1,3,27,3,rented flat,1,3,1,yes,yes
good,2,30,existing paid,items of furniture,2991,5,5,2,male: single,none,4,3,25,3,rented flat,1,3,1,yes,yes
good,2,30,no credits/all paid,retraining,4221,1,3,2,male: single,none,1,3,28,3,rented flat,2,3,1,yes,yes
good,1,9,existing paid,items of furniture,1364,1,4,3,male: married / widowed,none,4,1,59,3,rented flat,1,3,1,yes,yes
good,2,18,critical/other existing credit,used car,6361,1,5,2,male: married / widowed,none,1,4,41,3,rented flat,1,3,1,no,yes
good,4,27,critical/other existing credit,used car,4526,4,2,4,male: married / widowed,none,2,1,32,2,rented flat,2,2,2,no,yes
good,2,12,critical/other existing credit,items of furniture,3573,1,3,1,male: single,none,1,1,23,3,rented flat,1,2,1,yes,yes
bad,2,36,delayed previously,retraining,4455,1,3,2,male: divorced / living apart,none,2,1,30,2,rented flat,2,4,1,no,yes
good,1,9,existing paid,used car,2136,1,3,3,male: married / widowed,none,2,1,25,3,rented flat,1,3,1,yes,yes
good,2,42,critical/other existing credit,retraining,5954,1,4,2,male: single,none,1,1,41,1,rented flat,2,2,1,yes,yes
good,4,24,critical/other existing credit,used car,3777,4,3,4,male: married / widowed,none,4,1,40,3,rented flat,1,3,1,no,yes
good,1,15,existing paid,retraining,806,1,3,4,male: single,none,4,2,22,3,rented flat,1,2,1,yes,yes
good,2,24,delayed previously,retraining,4712,5,3,4,male: married / widowed,none,2,2,34,1,rented flat,2,4,1,no,yes
good,2,36,delayed previously,other,7432,1,3,2,male: single,none,2,2,54,3,free apartment,1,3,1,yes,yes
good,4,24,critical/other existing credit,items of furniture,1851,1,4,4,female:,Guarantor  ,2,3,33,3,rented flat,2,3,1,no,yes
good,4,24,existing paid,other,1393,1,3,2,male: married / widowed,Guarantor  ,2,1,31,3,rented flat,1,3,1,no,yes
good,4,12,critical/other existing credit,retraining,1412,1,3,4,male: single,Guarantor  ,2,1,29,3,rented flat,2,4,1,no,yes
good,4,18,existing paid,items of furniture,1473,1,2,3,female:,none,4,1,39,3,rented flat,1,3,1,no,yes
good,4,24,existing paid,items of furniture,1533,1,2,4,male: single,none,3,3,38,2,rented flat,1,3,1,no,yes
good,4,12,critical/other existing credit,repair,2012,5,4,4,male: single,none,2,3,61,3,rented flat,1,3,1,yes,yes
bad,1,15,existing paid,other,3959,1,3,3,male: single,none,2,2,29,3,rented flat,1,3,1,no,yes
good,1,6,existing paid,used car,428,1,5,2,male: single,none,1,2,49,1,rented flat,1,3,1,no,yes
good,2,12,critical/other existing credit,other,2366,3,4,3,male: divorced / living apart,none,3,3,36,3,rented flat,1,4,1,no,yes
good,4,12,existing paid,used car,763,1,3,4,male: single,none,1,1,26,3,rented flat,1,3,1,no,yes
good,2,21,existing paid,used car,3976,5,4,2,male: married / widowed,none,3,3,35,3,rented flat,1,3,1,no,yes
good,2,18,existing paid,other,6260,1,4,3,male: married / widowed,none,3,1,28,3,free apartment,1,2,1,yes,yes
good,2,9,critical/other existing credit,used car,1919,1,4,4,male: married / widowed,none,3,3,35,3,free apartment,1,3,1,no,yes
good,4,24,existing paid,new car,2603,4,3,2,male: single,none,4,3,28,3,free apartment,1,3,1,no,yes
good,4,9,critical/other existing credit,repair,936,3,5,4,male: married / widowed,none,2,3,52,3,rented flat,2,3,1,no,yes
good,4,24,existing paid,used car,3062,3,5,4,male: married / widowed,none,3,4,32,3,free apartment,1,3,1,no,yes
good,2,36,existing paid,items of furniture,4795,1,2,4,male: single,none,1,4,30,3,rented flat,1,4,1,no,yes
good,4,36,critical/other existing credit,new car,5842,1,5,2,male: married / widowed,none,2,2,35,3,rented flat,2,3,2,no,yes
good,2,6,existing paid,items of furniture,2063,1,2,4,female:,none,3,3,30,3,free apartment,1,4,1,no,yes
good,4,15,critical/other existing credit,items of furniture,1459,1,3,4,male: single,none,2,3,43,3,rented flat,1,2,1,yes,yes
good,4,15,existing paid,items of furniture,1213,3,5,4,male: married / widowed,none,3,2,47,2,rented flat,1,3,1,no,yes
good,4,24,critical/other existing credit,items of furniture,5103,1,2,3,female:,none,3,4,47,3,owner-occupied flat,3,3,1,no,yes
good,4,15,existing paid,radio / television,874,5,2,4,male: single,none,1,1,24,3,rented flat,1,3,1,yes,yes
good,4,6,existing paid,used car,2978,3,3,1,male: married / widowed,none,2,3,32,3,rented flat,1,3,1,no,yes
good,4,18,existing paid,other,1820,1,3,2,female:,none,2,2,30,3,rented flat,1,4,1,no,yes
good,4,24,critical/other existing credit,items of furniture,2872,2,5,3,male: married / widowed,none,4,1,36,3,rented flat,1,3,2,no,yes
good,3,24,existing paid,used car,1925,1,3,2,male: married / widowed,none,2,1,26,3,rented flat,1,3,1,yes,yes
good,4,18,existing paid,used car,2515,1,3,3,male: married / widowed,none,4,1,43,3,rented flat,1,3,1,no,yes
good,3,6,existing paid,used car,2116,1,3,2,male: married / widowed,none,2,1,41,3,rented flat,1,3,1,no,yes
good,4,18,existing paid,items of furniture,1453,1,2,3,male: single,none,1,1,26,3,rented flat,1,3,1,yes,yes
good,4,10,existing paid,other,1364,1,3,2,male: single,none,4,3,64,3,rented flat,1,3,1,no,yes
good,4,6,existing paid,used car,1543,4,3,4,male: divorced / living apart,none,2,1,33,3,rented flat,1,3,1,yes,yes
good,2,12,existing paid,other,1318,4,5,4,male: married / widowed,none,4,1,54,3,rented flat,1,3,1,no,yes
good,1,24,all paid,other,2325,2,4,2,male: married / widowed,none,3,3,32,1,rented flat,1,3,1,yes,yes
good,2,6,critical/other existing credit,vacation,932,5,4,1,male: single,none,3,2,39,3,rented flat,2,2,1,yes,yes
good,3,24,critical/other existing credit,items of furniture,3148,5,3,3,male: married / widowed,none,2,3,31,3,rented flat,2,3,1,no,yes
good,4,36,existing paid,items of furniture,3835,5,5,2,male: single,none,4,1,45,3,rented flat,1,2,1,no,yes
good,4,9,existing paid,repair,3832,5,5,1,male: married / widowed,none,4,1,64,3,rented flat,1,2,1,yes,yes
good,2,24,existing paid,items of furniture,5084,5,5,2,male: single,none,4,3,42,3,rented flat,1,3,1,no,yes
good,4,9,critical/other existing credit,used car,2406,1,1,2,male: married / widowed,none,3,3,31,3,rented flat,1,4,1,yes,yes
good,4,36,existing paid,items of furniture,2394,5,3,4,male: single,none,4,3,25,3,rented flat,1,3,1,yes,yes
good,4,21,existing paid,new car,2476,5,5,4,male: married / widowed,none,4,1,46,3,rented flat,1,4,1,no,yes
good,1,24,existing paid,new car,2964,5,5,4,male: married / widowed,none,4,4,49,1,owner-occupied flat,1,3,2,no,yes
good,1,12,existing paid,used car,1262,5,5,2,male: divorced / living apart,none,4,2,49,3,rented flat,1,2,1,no,yes
good,4,12,existing paid,retraining,1542,1,4,2,male: married / widowed,none,4,3,36,3,rented flat,1,3,1,no,yes
good,2,24,critical/other existing credit,items of furniture,1743,1,5,4,male: married / widowed,none,2,2,48,3,rented flat,2,2,1,yes,yes
good,3,12,all paid,items of furniture,409,4,3,3,male: single,none,3,1,42,3,free apartment,2,3,1,yes,yes
good,4,12,existing paid,items of furniture,2171,1,2,2,male: single,none,2,3,29,1,rented flat,1,3,1,yes,yes
good,4,48,critical/other existing credit,new car,8858,5,4,2,male: married / widowed,none,1,4,35,3,owner-occupied flat,2,3,1,no,yes
good,2,24,existing paid,other,3512,2,4,2,male: married / widowed,none,3,3,38,1,rented flat,2,3,1,no,yes
good,2,12,existing paid,items of furniture,1158,3,3,3,male: divorced / living apart,none,1,3,26,3,rented flat,1,3,1,no,yes
good,4,24,critical/other existing credit,items of furniture,2684,1,3,4,male: married / widowed,none,2,1,35,3,rented flat,2,2,1,yes,yes
good,1,12,existing paid,items of furniture,1498,1,3,4,male: single,none,1,3,23,1,rented flat,1,3,1,yes,yes
good,4,30,critical/other existing credit,items of furniture,5954,1,4,3,male: married / widowed,Co-Applicant  ,2,3,38,3,rented flat,1,3,1,yes,yes
bad,2,48,all paid,retraining,6416,1,5,4,male: single,none,3,4,59,3,free apartment,1,3,1,yes,yes
good,2,12,critical/other existing credit,used car,3617,1,5,1,male: married / widowed,none,4,3,28,3,free apartment,3,3,1,no,yes
good,4,12,critical/other existing credit,items of furniture,1291,1,3,4,male: single,none,2,2,35,3,rented flat,2,3,1,yes,yes
good,3,24,critical/other existing credit,retraining,1275,4,3,2,male: divorced / living apart,none,4,1,36,3,rented flat,2,3,1,no,yes
good,4,24,existing paid,used car,3972,1,4,2,male: single,none,4,2,25,3,free apartment,1,3,1,no,yes
good,4,15,critical/other existing credit,used car,3343,1,3,4,male: married / widowed,none,2,4,28,3,owner-occupied flat,1,3,1,no,yes
good,3,15,existing paid,repair,392,1,2,4,male: single,none,4,2,23,3,free apartment,1,3,1,no,yes
good,4,9,critical/other existing credit,other,2134,1,3,4,male: married / widowed,none,4,3,48,3,rented flat,3,3,1,no,yes
good,4,30,critical/other existing credit,items of furniture,5771,1,4,4,male: single,none,2,3,25,3,rented flat,2,3,1,yes,yes
good,4,24,critical/other existing credit,retraining,4526,1,3,3,male: married / widowed,none,2,1,74,3,rented flat,1,4,1,no,yes
good,4,15,critical/other existing credit,used car,2788,1,4,2,male: single,Co-Applicant  ,3,3,24,1,rented flat,2,3,1,yes,yes
good,4,6,critical/other existing credit,items of furniture,1382,1,3,1,male: single,none,1,3,28,3,rented flat,2,3,1,no,yes
good,3,36,existing paid,items of furniture,5848,1,3,4,male: married / widowed,none,1,3,24,3,rented flat,1,3,1,yes,yes
bad,1,12,existing paid,other,1228,1,3,4,male: single,none,2,1,24,3,rented flat,1,2,1,yes,yes
good,3,12,existing paid,items of furniture,1297,1,3,3,female:,none,4,1,23,3,free apartment,1,3,1,yes,yes
good,4,24,existing paid,items of furniture,1552,1,4,3,male: married / widowed,none,1,3,32,1,rented flat,1,3,2,yes,yes
good,4,12,existing paid,items of furniture,1963,1,4,4,male: married / widowed,none,2,3,31,3,free apartment,2,4,2,no,yes
good,4,24,existing paid,items of furniture,3235,3,5,3,male: divorced / living apart,none,2,3,36,3,rented flat,1,4,1,no,yes
good,4,24,critical/other existing credit,retraining,4139,2,3,3,male: married / widowed,none,3,2,27,3,rented flat,2,2,1,no,yes
good,2,12,critical/other existing credit,new car,1804,2,2,3,male: married / widowed,none,4,2,44,3,rented flat,1,3,1,yes,yes
good,4,18,existing paid,retraining,1950,1,4,4,male: married / widowed,none,1,3,34,2,rented flat,2,3,1,no,yes
good,4,48,delayed previously,items of furniture,12749,3,4,4,male: married / widowed,none,1,3,37,3,rented flat,1,4,1,no,yes
good,4,9,existing paid,radio / television,1236,1,2,1,male: single,none,4,1,23,3,free apartment,1,3,1,no,yes
good,4,18,critical/other existing credit,other,1055,1,2,4,male: single,none,1,2,30,3,rented flat,2,3,1,yes,yes
good,1,30,no credits/all paid,retraining,8072,5,2,2,male: married / widowed,none,3,3,25,1,rented flat,3,3,1,yes,yes
good,4,30,critical/other existing credit,items of furniture,2831,1,3,4,male: single,none,2,3,33,3,rented flat,1,3,1,no,yes
good,4,9,existing paid,retraining,1449,1,4,3,male: single,none,2,3,27,3,rented flat,2,3,1,yes,yes
good,4,36,existing paid,retraining,5742,2,4,2,male: married / widowed,none,2,3,31,3,rented flat,2,3,1,no,yes
good,4,12,existing paid,other,2390,5,5,4,male: married / widowed,none,3,3,50,3,rented flat,1,3,1,no,yes
good,4,24,existing paid,items of furniture,3430,3,5,3,male: married / widowed,none,2,3,31,3,rented flat,1,3,2,no,yes
good,2,36,existing paid,repair,2273,1,4,3,male: married / widowed,none,1,3,32,3,rented flat,2,3,2,yes,yes
good,3,21,existing paid,other,2923,2,3,1,male: single,none,1,3,28,1,rented flat,1,4,1,no,yes
good,4,24,existing paid,items of furniture,1901,2,3,4,male: married / widowed,none,4,3,29,3,free apartment,1,4,1,no,yes
good,2,36,existing paid,repair,3711,5,3,2,female:,none,2,3,27,3,rented flat,1,3,1,yes,yes
good,2,48,existing paid,other,8487,5,4,1,male: single,none,2,3,24,3,rented flat,1,3,1,yes,yes
good,4,24,existing paid,other,2255,5,2,4,male: married / widowed,none,1,2,54,3,rented flat,1,3,1,yes,yes
good,4,12,existing paid,items of furniture,1262,1,3,3,male: married / widowed,none,2,3,25,3,rented flat,1,3,1,yes,yes
good,4,33,critical/other existing credit,new car,7253,1,4,3,male: married / widowed,none,2,3,35,3,rented flat,2,4,1,no,yes
good,4,6,critical/other existing credit,other,6761,1,4,1,male: married / widowed,none,3,4,45,3,rented flat,2,4,2,no,yes
good,4,18,critical/other existing credit,used car,1817,1,3,4,male: single,none,2,4,28,3,rented flat,2,3,1,yes,yes
good,4,12,existing paid,items of furniture,2141,2,4,3,male: married / widowed,none,1,4,35,3,rented flat,1,3,1,yes,yes
good,4,48,all paid,retraining,3609,1,3,1,male: single,none,1,1,27,2,rented flat,1,3,1,yes,yes
good,4,30,existing paid,items of furniture,2333,3,5,4,male: married / widowed,none,2,3,30,1,rented flat,1,4,1,yes,yes
good,4,28,all paid,new car,7824,5,2,3,male: married / widowed,Guarantor  ,4,1,40,1,free apartment,2,3,2,no,yes
good,3,18,all paid,items of furniture,1445,5,4,4,male: married / widowed,none,4,3,49,1,rented flat,1,2,1,yes,yes
good,1,24,existing paid,used car,7721,5,2,1,male: single,none,2,2,30,3,rented flat,1,3,1,no,no
good,1,21,existing paid,other,3763,5,4,2,male: married / widowed,Co-Applicant  ,2,1,24,3,rented flat,1,2,1,yes,no
good,2,18,existing paid,retraining,4439,1,5,1,male: married / widowed,Co-Applicant  ,1,1,33,1,rented flat,1,4,1,no,yes
good,1,12,existing paid,items of furniture,1107,1,3,2,male: married / widowed,none,2,1,20,3,free apartment,1,4,2,no,yes
good,2,15,existing paid,items of furniture,1444,5,2,4,male: married / widowed,none,1,2,23,3,rented flat,1,3,1,yes,yes
good,2,48,all paid,other,12169,5,1,4,male: married / widowed,Co-Applicant  ,4,4,36,3,owner-occupied flat,1,4,1,no,yes
good,4,9,existing paid,items of furniture,2753,2,5,3,male: married / widowed,Co-Applicant  ,4,3,35,3,rented flat,1,3,1,no,yes
good,3,4,existing paid,other,1494,5,2,1,male: married / widowed,none,2,1,29,3,rented flat,1,2,2,yes,no
good,1,24,all paid,used car,2828,3,3,4,male: married / widowed,none,4,1,22,2,rented flat,1,3,1,no,yes
good,1,24,all paid,used car,2483,3,3,4,male: married / widowed,none,4,1,22,2,rented flat,1,3,1,no,yes
good,3,6,critical/other existing credit,other,1299,1,3,1,male: married / widowed,none,1,1,74,3,rented flat,3,1,2,yes,no
good,2,9,existing paid,other,1549,5,2,4,male: married / widowed,none,2,1,35,3,rented flat,1,1,1,yes,yes
good,3,10,existing paid,other,3949,1,2,1,male: married / widowed,Guarantor  ,1,2,37,3,rented flat,1,2,2,yes,yes
good,4,10,existing paid,new car,2901,5,2,1,male: single,none,4,1,31,3,free apartment,1,3,1,yes,yes
good,3,6,existing paid,other,709,4,2,2,female:,none,2,1,27,3,rented flat,1,1,1,yes,no
good,1,47,existing paid,other,10722,1,2,1,male: single,none,1,1,35,3,rented flat,1,2,1,no,yes
good,4,10,existing paid,other,1287,5,5,4,male: married / widowed,Co-Applicant  ,2,2,45,3,rented flat,1,2,1,yes,no
good,1,18,all paid,items of furniture,1940,1,2,3,male: married / widowed,Co-Applicant  ,4,4,36,1,owner-occupied flat,1,4,1,no,yes
good,3,30,critical/other existing credit,items of furniture,3656,5,5,4,male: married / widowed,none,4,2,49,2,rented flat,2,2,1,yes,yes
good,4,24,delayed previously,new car,4679,1,4,3,male: married / widowed,none,3,3,35,3,rented flat,2,2,1,no,yes
good,4,27,delayed previously,new car,8613,4,3,2,male: married / widowed,none,2,3,27,3,rented flat,2,3,1,yes,yes
good,1,18,existing paid,used car,2659,4,3,4,male: married / widowed,none,2,3,28,3,rented flat,1,3,1,yes,yes
good,4,24,critical/other existing credit,items of furniture,1516,4,3,4,male: single,none,1,1,43,3,rented flat,2,2,1,yes,yes
good,1,18,existing paid,other,4380,2,3,3,male: married / widowed,none,4,3,35,3,rented flat,1,2,2,no,yes
good,4,14,delayed previously,other,802,1,3,4,male: married / widowed,none,2,3,27,3,rented flat,2,2,1,yes,yes
good,4,21,existing paid,retraining,1572,4,5,4,male: single,none,4,1,36,1,rented flat,1,2,1,yes,yes
good,2,48,all paid,retraining,3566,2,4,4,male: married / widowed,none,2,3,30,3,rented flat,1,3,1,yes,yes
good,4,24,existing paid,items of furniture,1278,1,5,4,male: married / widowed,none,1,1,36,3,rented flat,1,4,1,no,yes
good,4,6,no credits/all paid,items of furniture,426,1,5,4,female:,none,4,3,39,3,rented flat,1,2,1,yes,yes
