Creditability,Account_Balance,Duration_of_Credit,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,Guarantors,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker
bad,7372,18,existing paid,radio/tv,2100,56,1,16,male single,co applicant,2,real estate,37,stores,own,1,skilled,1,none,yes
good,4020,10,existing paid,domestic appliance,1225,50,1,28,male single,none,2,car,37,none,own,1,skilled,1,yes,yes
good,23,9,existing paid,radio/tv,458,27,3,16,male single,none,3,real estate,24,none,own,1,skilled,1,none,yes
good,no checking,30,existing paid,radio/tv,2333,675,9,4,male single,none,2,car,30,bank,own,1,high qualif/self emp/mgmt,1,none,yes
good,2,12,existing paid,radio/tv,1158,763,1,20,male div/sep,none,1,car,26,none,own,1,skilled,1,yes,yes
good,85,18,delayed previously,repairs,6204,47,2,27,male single,none,4,real estate,44,none,own,1,unskilled resident,2,yes,yes
good,-1,30,critical/other existing credit,used car,6187,478,6,53,male mar/wid,none,4,car,24,none,rent,2,skilled,1,none,yes
bad,-1,48,critical/other existing credit,used car,6143,55,12,31,female div/dep/mar,none,4,no known property,58,stores,for free,2,unskilled resident,1,none,yes
good,no checking,11,critical/other existing credit,new car,1393,82,0,6,female div/dep/mar,none,4,car,35,none,own,2,high qualif/self emp/mgmt,1,none,yes
good,no checking,36,existing paid,radio/tv,2299,841,15,12,male single,none,4,car,39,none,own,1,skilled,1,none,yes
good,-1,6,existing paid,used car,1352,773,unemployed,46,female div/dep/mar,none,2,life insurance,23,none,rent,1,unemp/unskilled non res,1,yes,yes
good,no checking,11,critical/other existing credit,new car,7228,12,2,40,male single,none,4,life insurance,39,none,own,2,unskilled resident,1,none,yes
good,no checking,12,existing paid,radio/tv,2073,153,3,8,female div/dep/mar,co applicant,2,real estate,28,none,own,1,skilled,1,none,yes
good,56,24,delayed previously,furniture/equipment,2333,no known savings,0,19,male single,none,2,life insurance,29,bank,own,1,unskilled resident,1,none,yes
good,138,27,delayed previously,used car,5965,53,16,46,male single,none,2,car,30,none,own,2,high qualif/self emp/mgmt,1,yes,yes
good,no checking,12,existing paid,radio/tv,1262,18,1,21,male single,none,2,car,25,none,own,1,skilled,1,none,yes
good,no checking,18,existing paid,used car,3378,no known savings,2,33,male single,none,1,life insurance,31,none,own,1,skilled,1,yes,yes
bad,65,36,delayed previously,new car,2225,50,15,6,male single,none,4,no known property,57,bank,for free,2,skilled,1,yes,yes
good,no checking,6,all paid,new car,783,no known savings,3,44,male single,guarantor,2,real estate,26,stores,own,1,unskilled resident,2,none,yes
bad,159,12,existing paid,radio/tv,6468,no known savings,unemployed,30,male single,none,1,no known property,52,none,own,1,high qualif/self emp/mgmt,1,yes,yes
good,no checking,36,critical/other existing credit,radio/tv,9566,87,1,34,female div/dep/mar,none,2,car,31,stores,own,2,skilled,1,none,yes
good,1300,18,existing paid,new car,1961,67,7,20,female div/dep/mar,none,2,car,23,none,own,1,high qualif/self emp/mgmt,1,none,yes
bad,-1,36,critical/other existing credit,furniture/equipment,6229,60,0,20,female div/dep/mar,co applicant,4,no known property,23,none,rent,2,unskilled resident,1,yes,yes
good,11,9,existing paid,business,1391,14,2,34,male mar/wid,none,1,real estate,27,bank,own,1,skilled,1,yes,yes
good,36,15,critical/other existing credit,radio/tv,1537,no known savings,9,15,male single,guarantor,4,real estate,50,none,own,2,skilled,1,yes,yes
bad,53,36,no credits/all paid,business,1953,37,8,29,male single,none,4,no known property,61,none,for free,1,high qualif/self emp/mgmt,1,yes,yes
bad,48,48,no credits/all paid,business,14421,84,2,33,male single,none,2,car,25,none,own,1,skilled,1,yes,yes
good,no checking,24,existing paid,radio/tv,3181,66,0,11,female div/dep/mar,none,4,life insurance,26,none,own,1,skilled,1,yes,yes
good,no checking,27,existing paid,repairs,5190,no known savings,8,13,male single,none,4,life insurance,48,none,own,4,skilled,2,yes,yes
good,no checking,12,existing paid,radio/tv,2171,73,0,31,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes
good,122,12,existing paid,new car,1007,2202,2,33,male mar/wid,none,1,real estate,22,none,own,1,skilled,1,none,yes
bad,no checking,36,existing paid,education,1819,22,1,12,male single,none,4,no known property,37,stores,for free,1,skilled,1,yes,yes
good,no checking,36,existing paid,radio/tv,2394,no known savings,3,27,female div/dep/mar,none,4,car,25,none,own,1,skilled,1,none,yes
good,no checking,36,existing paid,used car,8133,74,2,44,female div/dep/mar,none,2,life insurance,30,bank,own,1,skilled,1,none,yes
good,no checking,7,critical/other existing credit,radio/tv,730,no known savings,16,38,male single,none,2,life insurance,46,none,rent,2,unskilled resident,1,yes,yes
good,-1,8,critical/other existing credit,other,1164,51,20,23,male single,none,4,no known property,51,bank,for free,2,high qualif/self emp/mgmt,2,yes,yes
good,72,42,critical/other existing credit,business,5954,16,5,29,female div/dep/mar,none,1,real estate,41,bank,own,2,unskilled resident,1,none,yes
bad,-1,36,existing paid,education,1977,no known savings,17,9,male single,none,4,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes
good,-1,12,critical/other existing credit,used car,1526,1,9,13,male single,none,4,no known property,66,none,for free,2,high qualif/self emp/mgmt,1,none,yes
bad,-1,42,existing paid,radio/tv,3965,14,0,16,male single,none,3,car,34,none,own,1,skilled,1,none,yes
good,54,11,delayed previously,radio/tv,4771,10,4,26,male single,none,4,life insurance,51,none,own,1,skilled,1,none,yes
good,no checking,54,no credits/all paid,used car,9436,no known savings,2,34,male single,none,2,life insurance,39,none,own,1,unskilled resident,2,none,yes
good,95,30,existing paid,furniture/equipment,3832,37,0,31,male mar/wid,none,1,life insurance,22,none,own,1,skilled,1,none,yes
bad,no checking,24,existing paid,radio/tv,5943,no known savings,0,36,female div/dep/mar,none,1,car,44,none,own,2,skilled,1,yes,yes
good,no checking,15,existing paid,radio/tv,1213,607,7,14,male single,none,3,life insurance,47,stores,own,1,skilled,1,yes,yes
good,no checking,18,existing paid,business,1568,288,3,24,female div/dep/mar,none,4,life insurance,24,none,rent,1,unskilled resident,1,none,yes
good,-1,24,existing paid,other,1755,98,10,15,female div/dep/mar,guarantor,4,real estate,58,none,own,1,unskilled resident,1,yes,yes
good,-1,10,existing paid,radio/tv,2315,24,11,22,male single,none,4,real estate,52,none,own,1,unskilled resident,1,none,yes
good,no checking,12,critical/other existing credit,business,1412,18,3,15,female div/dep/mar,guarantor,2,real estate,29,none,own,2,high qualif/self emp/mgmt,1,yes,yes
good,83,18,critical/other existing credit,furniture/equipment,1295,62,0,19,female div/dep/mar,none,1,life insurance,27,none,own,2,skilled,1,none,yes
bad,47,36,existing paid,education,12612,335,2,47,male single,none,4,no known property,47,none,for free,1,skilled,2,yes,yes
good,-1,18,existing paid,new car,2249,183,4,33,male single,none,3,car,30,none,own,1,high qualif/self emp/mgmt,2,yes,yes
bad,-1,12,no credits/all paid,repairs,1108,94,4,15,male single,none,3,real estate,28,none,own,2,skilled,1,none,yes
good,no checking,12,critical/other existing credit,radio/tv,618,91,14,15,male single,none,4,real estate,56,none,own,1,skilled,1,none,yes
good,-1,12,critical/other existing credit,used car,1409,52,12,14,male single,none,3,real estate,54,none,own,1,skilled,1,none,yes
bad,no checking,12,critical/other existing credit,radio/tv,797,no known savings,19,16,female div/dep/mar,none,3,life insurance,33,bank,own,1,unskilled resident,2,none,yes
good,7924,24,critical/other existing credit,furniture/equipment,3617,no known savings,10,15,male single,co applicant,4,no known property,20,none,rent,2,skilled,1,none,yes
good,196,12,existing paid,new car,1318,1876,16,8,male single,none,4,real estate,54,none,own,1,skilled,1,yes,yes
bad,162,54,no credits/all paid,business,15945,25,0,24,male single,none,4,no known property,58,none,rent,1,skilled,1,yes,yes
good,no checking,12,critical/other existing credit,education,2012,no known savings,5,23,female div/dep/mar,none,2,car,61,none,own,1,skilled,1,none,yes
good,193,18,existing paid,business,2622,231,2,7,male single,none,4,car,34,none,own,1,skilled,1,none,yes
good,90,36,critical/other existing credit,radio/tv,2337,71,11,9,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes
good,129,20,delayed previously,used car,7057,no known savings,6,23,male single,none,4,life insurance,36,bank,rent,2,high qualif/self emp/mgmt,2,yes,yes
good,no checking,24,existing paid,new car,1469,154,14,28,male mar/wid,none,4,real estate,41,none,rent,1,unskilled resident,1,none,yes
good,32,36,existing paid,radio/tv,2323,51,5,10,male single,none,4,car,24,none,rent,1,skilled,1,none,yes
good,no checking,6,delayed previously,radio/tv,932,96,3,24,female div/dep/mar,none,2,real estate,24,none,own,1,skilled,1,none,yes
good,189,9,critical/other existing credit,furniture/equipment,1919,44,6,16,male single,none,3,car,35,none,rent,1,skilled,1,yes,yes
good,no checking,12,existing paid,used car,2445,no known savings,0,33,male mar/wid,none,4,car,26,none,rent,1,skilled,1,yes,yes
bad,190,24,critical/other existing credit,other,11938,40,2,30,male single,co applicant,3,car,39,none,own,2,high qualif/self emp/mgmt,2,yes,yes
bad,no checking,18,all paid,new car,6458,48,15,33,male single,none,4,no known property,39,bank,own,2,high qualif/self emp/mgmt,2,yes,yes
good,161,12,existing paid,new car,6078,9,6,28,male single,none,2,car,32,none,own,1,skilled,1,none,yes
good,-1,24,existing paid,furniture/equipment,7721,no known savings,0,35,female div/dep/mar,none,2,life insurance,30,none,own,1,skilled,1,yes,no
good,133,14,existing paid,business,1410,693,17,48,male mar/wid,none,2,real estate,35,none,own,1,skilled,1,yes,yes
good,179,6,delayed previously,business,1449,374,9,36,male div/sep,none,2,car,31,bank,own,2,skilled,2,none,yes
good,4262,15,existing paid,education,392,52,0,32,female div/dep/mar,none,4,life insurance,23,none,rent,1,skilled,1,yes,yes
good,70,18,existing paid,new car,6260,95,6,23,male single,none,3,real estate,28,none,rent,1,unskilled resident,1,none,yes
bad,no checking,36,critical/other existing credit,new car,7855,6,3,20,female div/dep/mar,none,2,real estate,25,stores,own,2,skilled,1,yes,yes
good,-1,12,existing paid,radio/tv,1680,841,15,24,male mar/wid,none,1,real estate,35,none,own,1,skilled,1,none,yes
good,no checking,48,critical/other existing credit,radio/tv,3578,no known savings,15,5,male single,none,1,real estate,47,none,own,1,skilled,1,yes,yes
bad,-1,42,existing paid,radio/tv,7174,no known savings,6,12,female div/dep/mar,none,3,car,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes
good,-1,10,critical/other existing credit,furniture/equipment,2132,no known savings,0,29,female div/dep/mar,co applicant,3,real estate,27,none,rent,2,skilled,1,none,no
bad,-1,33,critical/other existing credit,furniture/equipment,4281,867,1,62,female div/dep/mar,none,4,car,23,none,own,2,skilled,1,none,yes
good,21,12,critical/other existing credit,new car,2366,710,4,23,male div/sep,none,3,car,36,none,own,1,high qualif/self emp/mgmt,1,yes,yes
bad,-1,21,existing paid,radio/tv,1835,69,3,24,female div/dep/mar,none,2,real estate,25,none,own,2,skilled,1,yes,yes
good,no checking,24,critical/other existing credit,used car,3868,12,10,17,female div/dep/mar,none,2,car,41,none,rent,2,high qualif/self emp/mgmt,1,yes,yes
good,no checking,12,existing paid,furniture/equipment,1768,48,2,21,male single,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes
good,1211,10,critical/other existing credit,new car,781,4,7,37,male single,none,4,no known property,63,none,for free,2,skilled,1,yes,yes
bad,181,18,existing paid,furniture/equipment,1924,no known savings,0,5,female div/dep/mar,none,3,real estate,27,none,rent,1,skilled,1,none,yes
good,-1,12,critical/other existing credit,new car,2121,36,2,19,male single,none,2,life insurance,30,none,own,2,skilled,1,none,yes
good,-1,12,existing paid,radio/tv,701,75,2,14,male mar/wid,none,2,real estate,40,none,own,1,unskilled resident,1,none,yes
bad,157,12,existing paid,repairs,639,13,3,8,male single,none,2,car,30,none,own,1,skilled,1,none,yes
good,45,12,critical/other existing credit,used car,1860,31,unemployed,12,male single,none,2,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes
bad,-1,12,critical/other existing credit,new car,3499,57,3,20,female div/dep/mar,co applicant,2,real estate,29,none,own,2,skilled,1,none,yes
good,0,48,existing paid,new car,8487,no known savings,4,58,female div/dep/mar,none,2,car,24,none,own,1,skilled,1,none,yes
bad,-1,36,delayed previously,education,6887,66,2,18,male single,none,3,life insurance,29,stores,own,1,skilled,1,yes,yes
good,no checking,15,existing paid,furniture/equipment,2708,63,0,28,male single,none,3,life insurance,27,bank,own,2,unskilled resident,1,none,yes
good,no checking,18,existing paid,furniture/equipment,1984,84,3,19,male single,none,4,no known property,47,bank,for free,2,skilled,1,none,yes
good,no checking,60,existing paid,radio/tv,10144,246,6,29,female div/dep/mar,none,4,real estate,21,none,own,1,skilled,1,yes,yes
good,no checking,12,critical/other existing credit,radio/tv,1240,no known savings,7,8,female div/dep/mar,none,2,real estate,38,none,own,2,skilled,1,yes,yes
good,no checking,27,delayed previously,used car,8613,1543,3,29,male single,none,2,car,27,none,own,2,skilled,1,none,yes
bad,137,12,existing paid,radio/tv,766,839,2,16,male single,none,3,real estate,66,none,own,1,unskilled resident,1,none,yes
good,106,15,critical/other existing credit,radio/tv,2728,no known savings,6,9,male single,guarantor,2,real estate,35,bank,own,3,skilled,1,yes,yes
good,669,12,existing paid,radio/tv,1881,77,3,29,female div/dep/mar,none,2,car,44,none,rent,1,unskilled resident,1,yes,yes
good,6032,6,existing paid,new car,709,4688,0,32,male mar/wid,none,2,real estate,27,none,own,1,unemp/unskilled non res,1,none,no
good,142,36,existing paid,radio/tv,4795,21,0,12,female div/dep/mar,none,1,no known property,30,none,own,1,high qualif/self emp/mgmt,1,yes,yes
good,-1,27,existing paid,radio/tv,3416,82,1,24,male single,none,2,car,27,none,own,1,high qualif/self emp/mgmt,1,none,yes
bad,-1,18,existing paid,furniture/equipment,2462,73,3,33,male single,none,2,car,22,none,own,1,skilled,1,none,yes
good,no checking,21,critical/other existing credit,furniture/equipment,2288,79,0,14,female div/dep/mar,none,4,life insurance,23,none,own,1,skilled,1,yes,yes
good,107,48,all paid,business,3566,323,4,15,male single,none,2,car,30,none,own,1,skilled,1,none,yes
good,-1,6,critical/other existing credit,new car,860,40,18,56,female div/dep/mar,none,4,no known property,39,none,own,2,skilled,1,yes,yes
good,no checking,12,critical/other existing credit,new car,682,299,4,17,female div/dep/mar,none,3,car,51,none,own,2,skilled,1,yes,yes
good,-1,36,critical/other existing credit,furniture/equipment,5371,50,2,20,male single,guarantor,2,life insurance,28,none,own,2,skilled,1,none,yes
good,no checking,18,critical/other existing credit,radio/tv,1582,5626,12,13,male single,none,4,car,46,none,own,2,skilled,1,none,yes
good,no checking,6,existing paid,radio/tv,1346,364,11,33,male single,none,4,no known property,42,bank,for free,1,skilled,2,yes,yes
good,no checking,10,existing paid,radio/tv,1924,84,1,53,male single,none,4,life insurance,38,none,own,1,skilled,1,yes,no
good,5053,36,existing paid,radio/tv,5848,76,2,12,male single,none,1,car,24,none,own,1,skilled,1,none,yes
good,66,24,critical/other existing credit,used car,7758,1819,13,27,female div/dep/mar,none,4,no known property,29,none,rent,1,skilled,1,none,yes
good,126,24,delayed previously,business,6967,458,4,21,male single,none,4,car,36,none,rent,1,high qualif/self emp/mgmt,1,yes,yes
bad,-1,12,existing paid,furniture/equipment,1282,86,2,34,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes
good,-1,9,critical/other existing credit,repairs,1288,169,17,21,male single,guarantor,4,real estate,48,none,own,2,skilled,2,none,no
good,-1,12,all paid,retraining,339,82,10,8,male mar/wid,none,1,car,45,bank,own,1,unskilled resident,1,none,yes
good,50,24,existing paid,new car,3512,347,5,27,male single,none,3,car,38,bank,own,2,skilled,1,yes,yes
good,no checking,6,critical/other existing credit,radio/tv,1898,no known savings,2,53,male single,none,2,real estate,34,none,own,2,unskilled resident,2,none,yes
good,no checking,24,critical/other existing credit,radio/tv,2872,364,13,22,male single,none,4,real estate,36,none,own,1,skilled,2,yes,yes
good,no checking,18,critical/other existing credit,new car,1055,56,0,40,female div/dep/mar,none,1,life insurance,30,none,own,2,skilled,1,none,yes
good,no checking,15,existing paid,domestic appliance,1262,877,6,5,male single,none,3,life insurance,36,none,own,2,skilled,1,yes,yes
good,39,10,existing paid,new car,7308,43,unemployed,27,male single,none,4,no known property,70,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes
good,no checking,36,existing paid,new car,909,726,14,17,male single,none,4,life insurance,36,none,own,1,skilled,1,none,yes
good,no checking,6,existing paid,furniture/equipment,2978,506,2,52,male single,none,2,car,32,none,own,1,skilled,1,yes,yes
bad,-1,18,existing paid,furniture/equipment,1131,32,unemployed,10,female div/dep/mar,none,2,car,33,none,own,1,skilled,1,none,yes
good,122,11,existing paid,furniture/equipment,1577,3680,0,7,female div/dep/mar,none,1,real estate,20,none,own,1,skilled,1,none,yes
good,no checking,24,existing paid,furniture/equipment,3972,41,4,27,female div/dep/mar,none,4,life insurance,25,none,rent,1,skilled,1,yes,yes
bad,3,24,critical/other existing credit,business,1935,36,14,16,male div/sep,none,4,real estate,31,none,own,2,skilled,1,yes,yes
bad,-1,15,no credits/all paid,new car,950,23,15,18,male single,none,3,car,33,none,rent,2,skilled,2,none,yes
good,no checking,12,existing paid,furniture/equipment,763,71,3,6,female div/dep/mar,none,1,real estate,26,none,own,1,skilled,1,yes,yes
bad,90,24,delayed previously,furniture/equipment,2064,6,unemployed,21,female div/dep/mar,none,2,life insurance,34,none,own,1,high qualif/self emp/mgmt,1,yes,yes
good,63,8,existing paid,radio/tv,1414,84,2,10,male single,guarantor,2,real estate,33,none,own,1,skilled,1,none,no
bad,-1,21,delayed previously,education,3414,53,0,30,male single,none,1,life insurance,26,none,own,2,skilled,1,none,yes
bad,no checking,30,all paid,used car,7485,no known savings,unemployed,12,female div/dep/mar,none,1,real estate,53,bank,own,1,high qualif/self emp/mgmt,1,yes,yes
good,-1,12,existing paid,furniture/equipment,2577,65,3,26,male div/sep,none,1,car,42,none,own,1,skilled,1,none,yes
good,-1,6,critical/other existing credit,radio/tv,338,917,7,14,male single,none,4,car,52,none,own,2,skilled,1,none,yes
good,no checking,12,existing paid,radio/tv,1963,2,4,16,male single,none,2,car,31,none,rent,2,high qualif/self emp/mgmt,2,yes,yes
good,-1,21,critical/other existing credit,new car,571,42,12,10,male single,none,4,real estate,65,none,own,2,skilled,1,none,yes
bad,no checking,36,delayed previously,business,9572,32,0,60,male div/sep,none,1,car,28,none,own,2,skilled,1,none,yes
bad,186,36,delayed previously,business,4455,22,2,28,male div/sep,none,2,real estate,30,stores,own,2,high qualif/self emp/mgmt,1,yes,yes
bad,-1,21,all paid,new car,1647,no known savings,3,15,male single,none,2,life insurance,40,none,own,2,unskilled resident,2,none,yes
good,no checking,24,critical/other existing credit,furniture/equipment,3777,2446,3,17,male single,none,4,real estate,50,none,own,1,skilled,1,yes,yes
bad,178,18,critical/other existing credit,new car,884,88,13,26,male single,none,4,car,36,bank,own,1,skilled,2,yes,yes
good,no checking,15,critical/other existing credit,radio/tv,1360,43,2,10,male single,none,2,life insurance,31,none,own,2,skilled,1,none,yes
bad,137,9,all paid,used car,5129,89,16,32,female div/dep/mar,none,4,no known property,74,bank,for free,1,high qualif/self emp/mgmt,2,yes,yes
good,191,16,critical/other existing credit,new car,1175,0,unemployed,34,male single,none,3,car,68,none,for free,3,unemp/unskilled non res,1,yes,yes
bad,-1,12,existing paid,radio/tv,674,100,4,11,male mar/wid,none,1,life insurance,20,none,own,1,skilled,1,none,yes
good,190,18,no credits/all paid,furniture/equipment,3244,18,2,55,female div/dep/mar,none,4,car,33,bank,own,2,skilled,1,yes,yes
bad,no checking,24,existing paid,business,4591,3001,2,29,male single,none,3,life insurance,54,none,own,3,high qualif/self emp/mgmt,1,yes,yes
bad,53,48,no credits/all paid,business,3844,362,5,7,male single,none,4,no known property,34,none,for free,1,unskilled resident,2,none,yes
bad,4,27,existing paid,business,3915,16,2,7,male single,none,2,car,36,none,own,1,skilled,2,yes,yes
good,no checking,6,existing paid,radio/tv,2108,27,5,32,male mar/wid,none,2,real estate,29,none,rent,1,skilled,1,none,yes
bad,106,45,existing paid,radio/tv,3031,402,2,4,male single,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,yes
bad,64,9,critical/other existing credit,education,1501,48,16,34,female div/dep/mar,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes
good,no checking,6,critical/other existing credit,radio/tv,1382,81,2,65,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,yes
bad,187,12,existing paid,furniture/equipment,951,271,0,19,female div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,none,yes
good,157,24,existing paid,used car,2760,no known savings,10,19,male single,none,4,no known property,36,bank,for free,1,skilled,1,yes,yes
bad,118,18,delayed previously,furniture/equipment,4297,25,11,4,male div/sep,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes
good,no checking,9,critical/other existing credit,education,936,564,14,5,male single,none,2,car,52,none,own,2,skilled,1,yes,yes
good,-1,12,existing paid,new car,1168,47,3,12,male mar/wid,none,3,real estate,27,none,own,1,unskilled resident,1,none,yes
good,no checking,27,delayed previously,business,5117,3,5,20,male single,none,4,car,26,none,own,2,skilled,1,none,yes
bad,-1,12,existing paid,retraining,902,63,4,17,male mar/wid,none,4,life insurance,21,none,rent,1,skilled,1,none,yes
good,no checking,12,critical/other existing credit,new car,1495,23,18,11,male single,none,1,real estate,38,none,own,2,unskilled resident,2,none,yes
good,-1,30,critical/other existing credit,used car,10623,85,12,21,male single,none,4,no known property,38,none,for free,3,high qualif/self emp/mgmt,2,yes,yes
good,no checking,12,critical/other existing credit,furniture/equipment,1935,94,10,13,male single,none,4,real estate,43,none,own,3,skilled,1,yes,yes
good,95,12,critical/other existing credit,domestic appliance,1424,88,6,19,male single,none,3,life insurance,26,none,own,1,skilled,1,none,yes
good,-1,24,existing paid,business,6568,39,1,29,male mar/wid,none,2,car,21,stores,own,1,unskilled resident,1,none,yes
good,no checking,12,existing paid,used car,1413,3757,5,20,male single,none,2,life insurance,55,none,own,1,skilled,1,none,no
good,no checking,9,critical/other existing credit,radio/tv,3074,no known savings,3,45,male single,none,2,real estate,33,none,own,2,skilled,2,none,yes
good,no checking,36,existing paid,radio/tv,3835,no known savings,8,34,female div/dep/mar,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes
bad,-1,27,no credits/all paid,business,5293,35,unemployed,26,male single,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes
bad,1635,30,delayed previously,business,1908,53,20,18,male single,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,yes,yes
good,no checking,36,critical/other existing credit,radio/tv,3342,no known savings,11,16,male single,none,2,car,51,none,own,1,skilled,1,yes,yes
good,182,6,critical/other existing credit,retraining,932,no known savings,5,64,female div/dep/mar,none,3,life insurance,39,none,own,2,unskilled resident,1,none,yes
good,-1,18,no credits/all paid,business,3104,40,4,22,male single,none,1,life insurance,31,bank,own,1,skilled,1,yes,yes
